"","budget","score","year","gross","usa"
"538",17,6.7,5,7.24135,1
"539",15,7,5,38.01638,1
"540",0.023,7.1,5,1.228108,1
"541",30,4.1,5,15.55634,0
"542",25,5.7,5,33.691313,1
"543",18,6,5,11.657385,0
"544",23,6,5,7.434726,1
"545",14,6.7,5,34.79316,1
"546",23,5.9,5,20.24679,1
"547",17,5.9,5,9.286314,1
"548",17,5.3,5,2.865916,1
"549",10,6.7,5,25.010896,1
"550",23,6.8,5,0.752856,0
"551",1.4,5.6,5,0.115103,1
"552",8,5.7,5,19.018321,1
"553",10,5.5,5,9.18815,1
"554",22,6.5,5,11.511031,1
"555",13,5.8,5,4.102526,1
"556",18,5.7,5,5.546827,1
"557",7,7.1,5,0.191125,1
"558",11,6.9,5,1.059071,0
"559",17,6.4,5,4.603929,1
"560",48,5.9,5,15.965919,1
"561",3,6.8,5,0.390152,1
"562",8,5.9,5,10.438504,0
"563",7.5,6.7,5,6.266621,1
"564",13,4.1,5,3.752426,1
"565",10,6,5,14.061361,1
"566",18,5.7,5,1.501785,1
"567",35,5.7,5,14.587732,1
"568",40,6.3,5,17.86028,1
"569",14,6.8,5,2.735731,1
"570",2,6.1,5,0.003331,1
"571",5,5.1,5,19.281235,1
"572",36,6.8,5,1.342903,1
"573",26,5.7,5,12.454768,1
"574",17.01,5.7,5,22.641969,1
"575",22,5.5,5,11.000863,1
"576",16.4,5.8,5,21.082165,1
"577",28,7.6,5,0.117569,0
"578",0.25,6.5,5,0.609524,1
"579",16,6.1,5,4.409328,1
"580",4,5.8,5,11.276846,1
"581",16,6.5,5,14.851083,1
"582",6,3.8,5,0.869325,1
"583",10,6,5,6.166819,1
"584",4,7.2,5,0.259012,1
"585",10,4.7,5,8.667684,1
"586",19,4.9,5,0.939277,1
"587",1.9,7,5,0.532933,1
"588",0.45,5.9,5,2.712293,1
"589",3,5.3,5,9.563393,1
"590",3,7.4,5,1.26491,1
"591",13,4.8,5,5.451119,1
"592",6,5.5,5,0.064562,1
"593",14,5.9,5,1.989059,1
"594",15,5.1,5,4.693236,1
"595",1.2,8.3,6,2.832029,1
"596",40,7.5,6,82.52279,1
"597",28,8,6,217.350219,1
"598",80,7,6,162.831698,1
"599",49,6.9,6,117.727,0
"600",40,7.8,6,75.505856,1
"601",14.4,8.2,6,101.157447,1
"602",11,7.5,6,52.929168,1
"603",40,7.7,6,141.340178,1
"604",10,7.2,6,4.160851,1
"605",50,6.4,6,55.4736,1
"606",31,6.3,6,139.61,1
"607",40,7.2,6,107.533928,1
"608",55,6.5,6,58.42265,1
"609",31,8,6,63.895607,1
"610",15,7,6,2.819485,1
"611",25,6.2,6,121.94572,1
"612",20,7,6,121.69735,1
"613",10,6.4,6,50.752337,1
"614",11,7.6,6,11.502976,1
"615",18,6.6,6,173.585516,1
"616",35,6.5,6,83.363139,0
"617",12.5,7.8,6,10.725228,1
"618",3,7.6,6,0.242623,0
"619",6,6.6,6,25.79231,1
"620",45,6.9,6,83.287363,1
"621",24,5.7,6,22.518097,1
"622",31,7.6,6,9.493259,0
"623",33,7.7,6,48.169908,1
"624",15,5.2,6,30.524763,1
"625",24,6.5,6,24.650296,0
"626",5,5.5,6,12.534961,1
"627",7,5.6,6,16.624456,1
"628",8,4.8,6,17.092453,1
"629",23,6,6,36.299898,1
"630",7,5.7,6,40.693477,1
"631",5,7.1,6,20.14688,1
"632",60,6.5,6,58.88384,1
"633",35,6.7,6,144.731527,1
"634",5,7.2,6,1.862805,0
"635",10,5.4,6,32.101,0
"636",3,5.4,6,1.829804,1
"637",11.7,6.6,6,88.036683,1
"638",16,6.3,6,47.922919,1
"639",1,7.1,6,2.000022,1
"640",6.5,5.2,6,29.000301,1
"641",35,7.1,6,51.433,1
"642",40,5.4,6,70.1,1
"643",8,7.6,6,21.7061,1
"644",43,5,6,21.452082,1
"645",47,6.5,6,7.191399,0
"646",35,6.6,6,24.2765,1
"647",15,5.8,6,44.065653,1
"648",2,7.2,6,21.6655,0
"649",0.007,6.9,6,2.04092,1
"650",16,7.2,6,13.08643,1
"651",30,4.8,6,14.1106,1
"652",40,4.7,6,58.662452,1
"653",4,7.2,6,5.289772,0
"654",35,6.9,6,4.651977,1
"655",8,5.9,6,6.739141,0
"656",14,5.3,6,2.03447,1
"657",12,6,6,21.370057,1
"658",3.5,5.3,6,3.560469,1
"659",40,6,6,45.500797,1
"660",30,7.2,6,7.286388,1
"661",7,6.2,6,5.430822,0
"662",18,5.7,6,21.591728,1
"663",10,6.3,6,14.356479,1
"664",12,7.5,6,2.280148,1
"665",42,6.5,6,19.507345,1
"666",27,6.4,6,14.683921,0
"667",0.9,6.9,6,16.2706,0
"668",15,6.8,6,22.660758,1
"669",25,5.8,6,35.208854,1
"670",12,7.7,6,27.281507,1
"671",0.9,4.2,6,6.980986,1
"672",45,4.1,6,28.41121,1
"673",5,7,6,4.058564,0
"674",14,6.2,6,13.747138,1
"675",20,7.6,6,10.555619,1
"676",20,6.2,6,11.390479,1
"677",40,5.9,6,14.358033,1
"678",15,5.4,6,40.227,1
"679",7.5,6,6,13.272113,1
"680",4,6.8,6,1.373196,1
"681",32,5.8,6,28.590665,1
"682",15.5,6.4,6,6.742168,0
"683",30,5.3,6,17.129,1
"684",50,5.9,6,46.666502,1
"685",40,4.4,6,8.251071,0
"686",10,6.4,6,8.332431,0
"687",17,7,6,4.836637,1
"688",5,7.2,6,1.526697,1
"689",29,6.5,6,5.519569,1
"690",18,6.7,6,1.949148,1
"691",40,5.9,6,20.883046,1
"692",20,5.8,6,6.202756,1
"693",10,6.7,6,1.034287,0
"694",5,6.9,6,1.050861,1
"695",43,5.8,6,13.351357,1
"696",30,4.6,6,4.09603,1
"697",10,6.8,6,0.384048,1
"698",2.7,6.9,6,1.723319,1
"699",3.33,7.5,6,5.414619,1
"700",18,6.1,6,6.375979,1
"701",3,7.2,6,0.141554,0
"702",0.8,5.6,6,0.114516,1
"703",18,5.6,6,11.124511,1
"704",0.4,7.3,6,0.152322,0
"705",3,4.9,6,0.690966,1
"706",18,6.3,6,2.149735,1
"707",0.022769,6.5,6,0.692585,1
"708",24,5,6,0.608866,1
"709",13,5,6,3.721911,1
